"Country or Area","Year","Area","Sex","Age","Cause of death (WHO)","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Mexico","2017","Total","Male","25 - 29","Pneumonia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","215",""
"Mexico","2017","Total","Male","25 - 29","Chronic lower respiratory diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","34",""
"Mexico","2017","Total","Male","25 - 29","Diseases of the digestive system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","534",""
"Mexico","2017","Total","Male","25 - 29","Gastric and duodenal ulcer, ICD10","Data tabulated by year of registration","Final figure, complete","2020","6",""
"Mexico","2017","Total","Male","25 - 29","Diseases of the liver, ICD10","Data tabulated by year of registration","Final figure, complete","2020","341",""
"Mexico","2017","Total","Male","25 - 29","Diseases of the musculoskeletal system and connective tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","31",""
"Mexico","2017","Total","Male","25 - 29","Diseases of the genitourinary system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","279",""
"Mexico","2017","Total","Male","25 - 29","Disorders of kidney and ureter, ICD10","Data tabulated by year of registration","Final figure, complete","2020","266",""
"Mexico","2017","Total","Male","25 - 29","Hyperplasia of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","25 - 29","Certain conditions originating in the perinatal period, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","25 - 29","Congenital malformations, deformations and chromosomal abnormalities , ICD10","Data tabulated by year of registration","Final figure, complete","2020","110",""
"Mexico","2017","Total","Male","25 - 29","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified, ICD10","Data tabulated by year of registration","Final figure, complete","2020","61",""
"Mexico","2017","Total","Male","25 - 29","All other diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","24",""
"Mexico","2017","Total","Male","25 - 29","External causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","8040",""
"Mexico","2017","Total","Male","25 - 29","Accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2534",""
"Mexico","2017","Total","Male","25 - 29","Transport accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1556",""
"Mexico","2017","Total","Male","25 - 29","Falls, ICD10","Data tabulated by year of registration","Final figure, complete","2020","90",""
"Mexico","2017","Total","Male","25 - 29","Accidental drowning and submersion, ICD10","Data tabulated by year of registration","Final figure, complete","2020","156",""
"Mexico","2017","Total","Male","25 - 29","Exposure to smoke, fire and flames, ICD10","Data tabulated by year of registration","Final figure, complete","2020","29",""
"Mexico","2017","Total","Male","25 - 29","Accidental poisoning by and exposure to noxious substances, ICD10","Data tabulated by year of registration","Final figure, complete","2020","65",""
"Mexico","2017","Total","Male","25 - 29","Intentional self-harm, ICD10","Data tabulated by year of registration","Final figure, complete","2020","709",""
"Mexico","2017","Total","Male","25 - 29","Assault, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4325",""
"Mexico","2017","Total","Male","25 - 29","All other external causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","472",""
"Mexico","2017","Total","Male","25 - 29","All causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","12308",""
"Mexico","2017","Total","Male","30 - 34","Certain infectious and parasitic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","850",""
"Mexico","2017","Total","Male","30 - 34","Intestinal infectious diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","26",""
"Mexico","2017","Total","Male","30 - 34","Tuberculosis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","85",""
"Mexico","2017","Total","Male","30 - 34","Tetanus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Mexico","2017","Total","Male","30 - 34","Diphtheria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","30 - 34","Whooping cough, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","30 - 34","Meningococcal infection, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","30 - 34","Septicaemia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","31",""
"Mexico","2017","Total","Male","30 - 34","Acute poliomyelitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","30 - 34","Measles, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","30 - 34","Viral hepatitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","9",""
"Mexico","2017","Total","Male","30 - 34","Human immunodeficiency virus [HIV] disease, ICD10","Data tabulated by year of registration","Final figure, complete","2020","651",""
"Mexico","2017","Total","Male","30 - 34","Malaria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","30 - 34","Neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","695",""
"Mexico","2017","Total","Male","30 - 34","Malignant neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","623",""
"Mexico","2017","Total","Male","30 - 34","Malignant neoplasm of lip, oral cavity and pharynx, ICD10","Data tabulated by year of registration","Final figure, complete","2020","8",""
"Mexico","2017","Total","Male","30 - 34","Malignant neoplasm of oesophagus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Mexico","2017","Total","Male","30 - 34","Malignant neoplasm of stomach, ICD10","Data tabulated by year of registration","Final figure, complete","2020","50",""
"Mexico","2017","Total","Male","30 - 34","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of registration","Final figure, complete","2020","53",""
"Mexico","2017","Total","Male","30 - 34","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of registration","Final figure, complete","2020","9",""
"Mexico","2017","Total","Male","30 - 34","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of registration","Final figure, complete","2020","8",""
"Mexico","2017","Total","Male","30 - 34","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of registration","Final figure, complete","2020","29",""
"Mexico","2017","Total","Male","30 - 34","Malignant neoplasm of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Mexico","2017","Total","Male","30 - 34","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","173",""
"Mexico","2017","Total","Male","30 - 34","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of registration","Final figure, complete","2020","64",""
"Mexico","2017","Total","Male","30 - 34","Anaemias, ICD10","Data tabulated by year of registration","Final figure, complete","2020","31",""
"Mexico","2017","Total","Male","30 - 34","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","498",""
"Mexico","2017","Total","Male","30 - 34","Diabetes mellitus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","334",""
"Mexico","2017","Total","Male","30 - 34","Malnutrition, ICD10","Data tabulated by year of registration","Final figure, complete","2020","38",""
"Mexico","2017","Total","Male","30 - 34","Mental and behavioural disorders, ICD10","Data tabulated by year of registration","Final figure, complete","2020","137",""
"Mexico","2017","Total","Male","30 - 34","Diseases of the nervous system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","234",""
"Mexico","2017","Total","Male","30 - 34","Diseases of the circulatory system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1127",""
"Mexico","2017","Total","Male","30 - 34","Acute rheumatic fever and chronic rheumatic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","6",""
"Mexico","2017","Total","Male","30 - 34","Hypertensive diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","128",""
"Mexico","2017","Total","Male","30 - 34","Ischaemic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","613",""
"Mexico","2017","Total","Male","30 - 34","Cerebrovascular diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","192",""
"Mexico","2017","Total","Male","30 - 34","Diseases of arteries, arterioles and capillaries, ICD10","Data tabulated by year of registration","Final figure, complete","2020","19",""
"Mexico","2017","Total","Male","30 - 34","Diseases of the respiratory  system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","394",""
"Mexico","2017","Total","Male","30 - 34","Influenza, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Mexico","2017","Total","Male","30 - 34","Pneumonia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","263",""
"Mexico","2017","Total","Male","30 - 34","Chronic lower respiratory diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","40",""
"Mexico","2017","Total","Male","30 - 34","Diseases of the digestive system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1054",""
"Mexico","2017","Total","Male","30 - 34","Gastric and duodenal ulcer, ICD10","Data tabulated by year of registration","Final figure, complete","2020","19",""
